,1,2,cluster_lab
131924,-19.186666,5.052786,3
692964,17.27499,12.390187,2
159946,-23.090307,0.77527195,3
122822,13.033621,31.161682,0
352132,8.87458,-42.764572,1
828862,29.595167,10.28841,2
127933,-20.832254,33.99102,0
300618,-10.844589,-44.30655,1
199251,24.591726,3.2742832,2
120414,12.215754,3.9895265,2
117930,21.893675,18.381384,2
149741,8.322022,-7.1251483,2
656657,26.443645,22.910858,2
211922,-9.667184,-3.5794332,3
205725,7.250784,-35.328415,1
912447,29.211445,13.835614,2
820745,9.448086,-40.8272,1
562446,-21.396687,13.521884,3
878877,-9.966548,39.574528,0
268850,-8.441816,27.47374,0
107220,-1.7919878,-11.662789,3
749058,-17.505081,-26.585455,3
952863,24.668207,-9.968606,2
108222,-8.080711,40.0874,0
107422,-1.5149088,-24.895748,1
227432,-4.3052845,46.9743,0
138231,-8.007176,6.8577013,3
196750,15.016005,-29.53456,1
159138,16.563864,42.479694,0
204420,15.506141,-16.222956,1
129937,0.6181766,-36.275047,1
894067,18.466677,8.618714,2
392447,27.439243,17.463158,2
169141,-4.9356656,39.20945,0
121315,-23.959997,4.363378,3
188448,-28.64319,4.95142,3
168745,3.7813075,46.33867,0
199655,9.595469,-25.391985,1
192439,0.3795974,-39.646683,1
871762,23.18096,-11.557794,2
389357,-30.882786,-2.4162333,3
193845,-1.4209518,26.088398,0
151728,-13.581589,-29.239391,1
134425,-4.225504,33.142147,0
178950,-11.056242,-0.067037016,3
626648,-20.417892,39.500027,0
209329,-23.214872,-11.95881,3
122418,0.93664193,26.591312,0
101309,21.398546,14.837008,2
424939,-8.598518,22.351973,0
154734,1.2035357,43.037895,0
152831,16.004282,-29.306946,1
720337,-34.966106,-11.199777,3
667056,2.7666264,27.63467,0
136227,34.914192,-7.3977427,2
151930,27.403868,-9.027155,2
154330,28.82822,-10.936228,2
207628,23.541746,20.933367,2
118124,-1.1092597,-7.7329035,3
792766,29.009386,9.494509,2
212419,13.181804,34.55274,0
584355,10.532657,33.407066,0
715950,-33.04742,-14.552425,3
209834,-34.8534,-7.0913353,3
675661,-39.30527,-0.6271981,3
436845,29.681232,4.4192395,2
953764,33.17571,-7.0075126,2
663755,-27.488047,34.079556,0
943862,8.631887,-47.666718,1
578158,29.785381,16.294184,2
186040,22.947933,-33.374733,1
104820,-7.4229555,-47.536465,1
896879,-21.237003,37.56866,0
366446,19.536179,10.028088,2
200917,-20.871058,32.582516,0
580650,-20.278458,30.487661,0
194645,-0.82063997,-44.410076,1
151829,14.912553,32.987823,0
137532,34.248158,-6.0345464,2
810843,-32.998383,-20.974281,3
153429,3.9250922,27.825655,0
580751,-35.806946,-14.621687,3
270332,1.3196309,28.163446,0
185947,4.5514483,-28.626875,1
627549,-4.6018558,9.609677,2
167036,11.979922,-18.644548,1
173536,13.5118685,7.500074,2
517239,-3.4835355,18.037394,2
555348,-13.762713,-24.83022,3
151324,1.0234455,29.377651,0
133928,2.5148466,50.057503,0
111312,5.565014,-42.25941,1
146634,15.096836,29.301678,2
212015,16.446194,5.1559663,2
397154,-22.937605,13.908112,3
634748,-31.413435,-13.46952,3
165638,-19.996595,4.3048606,3
165436,-7.554996,-40.43183,1
305830,-29.344189,-12.65328,3
433839,-21.645338,27.150948,0
353740,-5.2646346,-50.605373,1
135528,0.16209583,-46.955814,1
